address,price,beds,baths,sqft,url,description,type,page_number,neighborhood,scraped_date
"Las Palmas Apartments, 11374 Borden Ave, Pacoima, CA 91331","$1,700+/mo",N/A,N/A,N/A,https://www.zillow.com/apartments/pacoima-ca/las-palmas-apartments/CmPLGs/,Professionally managed apartment complex. 3 Units available for Rent!,Rental,1,Pacoima,2025-08-06 13:37:52
"800 Glenoaks Apartments, 10800 Glenoaks Blvd #212B, Pacoima, CA 91331","$1,905/mo",N/A,N/A,N/A,https://www.zillow.com/apartments/pacoima-ca/800-glenoaks-apartments/5XjMvq/,"Welcome to 800 Glenoaks Apartments in Pacoima

Discover the perfect blend of convenience and comfort at 800 Glenoaks Apartments. Our community is designed to offer a hassle-free living experience with ample parking for residents and on-site laundry facilities, so you can take care of your laundry needs without ever leaving home.

Apartment Features:

Stylish, Modern Bathrooms

Elegant Countertops

Sleek, Easy-to-Clean New Flooring

Convenient On-Site Laundry Facilities

Prime Location:

Just Minutes from Shopping, Dining, Parks, and More!

Additional Information:

Non-Smoking Building

No Pets Allowed

Liability/Renters Insurance Required

Experience the comfort and convenience of 800 Glenoaks Apartments your ideal home in Pacoima.",Rental,1,Pacoima,2025-08-06 13:37:52
"Foothill Apartments | 11886 Foothill Blvd, Sylmar, CA","$2,250+ 2 bds",N/A,N/A,N/A,https://www.zillow.com/apartments/sylmar-ca/foothill-apartments/5XjVDc/,"Welcome to Foothill Apartments Our community is designed to provide comfort and convenience, featuring a sparkling pool where you can unwind and enjoy the beautiful California weather. With an on-site laundry facility, you'll have the convenience of handling your laundry without having to leave home.

Foothill Apartments offers a relaxing and hassle-free living experience. Whether you're lounging by the pool or enjoying the nearby amenities of Tujunga, this is the ideal place to call home.

Apartment Features:

Swimming Pool

Stylish, Modern Bathrooms

Elegant Countertops

Sleek, Easy-to-Clean New Flooring

Convenient On-Site Laundry Facilities

Prime Location:

Just Minutes from Shopping, Dining, Parks, and More!

Additional Information:

Non-Smoking Building

No Pets Allowed

Liability/Renters Insurance Required

Experience the ease and comfort of living at Foothill Apartments a place where you'll feel right at home.",Rental,1,Pacoima,2025-08-06 13:37:52
"820 Glenoaks Apartments, 10820 Glenoaks Blvd #207A, Pacoima, CA 91331","$1,695/mo",N/A,N/A,N/A,https://www.zillow.com/apartments/pacoima-ca/820-glenoaks-apartments/CkBCbF/,"Welcome to 820 Glenoaks Apartments in Pacoima

Discover the perfect blend of convenience and comfort at 820 Glenoaks Apartments. Our community is designed to offer a hassle-free living experience with ample parking for residents and on-site laundry facilities, so you can take care of your laundry needs without ever leaving home.

Apartment Features:

Stylish, Modern Bathrooms

Elegant Countertops

Sleek, Easy-to-Clean New Flooring

Convenient On-Site Laundry Facilities

Prime Location:

Just Minutes from Shopping, Dining, Parks, and More!

Additional Information:

Non-Smoking Building

No Pets Allowed

Liability/Renters Insurance Required

Experience the comfort and convenience of 820 Glenoaks Apartments your ideal home in Pacoima.",Rental,1,Pacoima,2025-08-06 13:37:52
"12713 Branford St #106, Pacoima, CA 91331","$1,695/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/12713-Branford-St-106-Pacoima-CA-91331/2061176486_zpid/,Newly Remodeled Spacious 1 Bedroom Apartment In Tree Lined Beautiful Pacoima Featuring: Elegant Vaulted Ceiling * Spacious Balcony * Modern Tile Flooring * Chefs Kitchen With Granite Counters * New Appliances(Dishwasher+Stove) * Dual Panel Windows * Central A/C * Built In Vanity Area * Large Bedroom With Double Closet * New Tub * Gated Paring * Pets Welcome * Laundry On SiteShow more,Rental,1,Pacoima,2025-08-06 13:37:52
"10617 San Fernando Rd #0, Pacoima, CA 91331","$2,100/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/10617-San-Fernando-Rd-0-Pacoima-CA-91331/455290023_zpid/,"Lease Terms
Lease Duration: 12-month lease minimum

Security Deposit: $2,350

Application Fee: $49 per adult applicant (non-refundable)

Utilities Included: Gas and water

Tenant Responsibility: Electricity, cable, and internet

Parking: 1 gated parking space included; additional street parking available

Smoking: Not allowed

Pets: [Insert policy, e.g., ""No pets"" or ""Pets considered with additional deposit""]

Move-In Ready: YesShow more",Rental,1,Pacoima,2025-08-06 13:37:52
"13104 Garber St, Pacoima, CA","$3,490+ 3 bds",N/A,N/A,N/A,https://www.zillow.com/b/13104-garber-st-pacoima-ca-CmpNKw/,"13104 Garber St has a walk score of 40, it's car-dependent.",Rental,1,Pacoima,2025-08-06 13:37:52
"13104 1/2 Garber St, Pacoima, CA","$2,990+ 2 bds",N/A,N/A,N/A,https://www.zillow.com/b/13104-1-2-garber-st-pacoima-ca-CmpNL5/,"13104 1/2 Garber St has a walk score of 60, it's somewhat walkable.",Rental,1,Pacoima,2025-08-06 13:37:52
"11265 De Haven Ave, Pacoima, CA 91331","$3,600/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/11265-De-Haven-Ave-Pacoima-CA-91331/20086012_zpid/,"Welcome to your new home in the heart of Pacoima! Just minutes from the I-5 and SR-118, this home offers easy commuting across the San Fernando Valley. Enjoy close proximity to Pacoima Plaza, Whiteman Airport, and Hansen Dam Recreation Area, Mission College, and top-rated local schools. This home features a spacious living area, an expansive backyard, two carports, air conditioning in every room, and is equipped with solar panels, helping you save on energy bills! 

FEATURES:
- 4 spacious bedrooms, 2 full bathrooms
- Generous 1,548 sq ft of living space with an open, bright, and airy layout.
- Fully equipped kitchen with stainless steel appliances: refrigerator, microwave, stove/oven, and dishwasher.
- In-unit laundry for added convenience.
- Window air conditioning units in all 3 bedrooms; wall-mounted AC in the living area.
- Recessed lighting.
- Primary bedroom features oversized closet, carpeted flooring, and a bathroom with a shower stall.
- Maximum of 2 domesticated pets allowed (subject to approval).
- Comes with 2 dedicated carport spaces
- Recently updated interiors.
- Yard.
- Gardening included.
- Solar panels installed for energy efficiency.

RENTAL TERMS:
- Application Fee: $60 per adult.
- Security Deposit: One month's rent on approved credit. However, there are certain exceptions for small landlords who own just two properties, provided that the total rental units between these properties does not exceed four. Landlords who qualify as small property owners may charge up to two months' rent.
- Lease Term: 12 months.
- Renters' insurance is required. 
- Maximum of 2 domesticated pets allowed (subject to approval)
- Monthly pet support fee from $75 - $125 (depending on Petscreening rating).
- Parking: 2 dedicated carport spaces. Please note that the space(s) are designed to accommodate standard-sized cars. Residents are responsible for ensuring their vehicle fits within the provided parking spaces before signing the lease.
- All applicants must provide the make, model, color, and license plate information for every vehicle they own/rent. This requirement is non-negotiable and applies to all properties, without exception. Whether the property has designated parking spaces or relies solely on-street parking, management must have accurate and up-to-date vehicle information on file for security purposes.
- Gardening included. Tenant to pay all other utilities. 
- No smoking.

Don't miss this rare opportunity to live in a well-maintained, centrally located unit in one of the Valley's most desirable neighborhoods!

Important Disclaimer: This property/listing is NOT advertised on Facebook Marketplace or Craigslist. Any such postings are unauthorized and potentially fraudulent. We will never request payments, deposits, or personal information through these platforms. If you come across this listing on an unapproved site, please report it immediately.Wall HeaterHide",Rental,1,Pacoima,2025-08-06 13:37:52
"Las Palmas Apartments, 11374 Borden Ave, Pacoima, CA 91331","$1,700+/mo",N/A,N/A,N/A,https://www.zillow.com/apartments/pacoima-ca/las-palmas-apartments/CmPLGs/,Professionally managed apartment complex. 3 Units available for Rent!,Rental,2,Pacoima,2025-08-06 13:37:52
